invoice_id,customer_id,amount_usd,status,created_at,subscription_plan
INV-STRIPE-100001,CUST-7603,999.0,Paid,2025-10-24 00:00:00,Enterprise
INV-STRIPE-100002,CUST-9415,49.0,Paid,2025-04-17 00:00:00,Basic
INV-STRIPE-100003,CUST-8389,999.0,Paid,2025-06-09 00:00:00,Enterprise
INV-STRIPE-100004,CUST-5870,999.0,Paid,2025-12-09 00:00:00,Enterprise
INV-STRIPE-100005,CUST-8586,199.0,Refunded,2025-08-13 00:00:00,Professional
INV-STRIPE-100006,CUST-6651,49.0,Paid,2025-02-10 00:00:00,Basic
INV-STRIPE-100007,CUST-7106,999.0,Paid,2025-05-30 00:00:00,Enterprise
INV-STRIPE-100008,CUST-8663,199.0,Failed,2025-05-26 00:00:00,Professional
INV-STRIPE-100009,CUST-8488,199.0,Paid,2025-09-13 00:00:00,Professional
INV-STRIPE-100010,CUST-6965,199.0,Failed,2025-11-29 00:00:00,Professional
INV-STRIPE-100011,CUST-6339,199.0,Failed,2025-11-15 00:00:00,Professional
INV-STRIPE-100012,CUST-5865,999.0,Failed,2025-12-24 00:00:00,Enterprise
INV-STRIPE-100013,CUST-9862,199.0,Paid,2025-12-08 00:00:00,Professional
INV-STRIPE-100014,CUST-7092,49.0,Refunded,2025-10-18 00:00:00,Basic
INV-STRIPE-100015,CUST-7958,999.0,Paid,2025-02-16 00:00:00,Enterprise
INV-STRIPE-100016,CUST-6890,49.0,Failed,2025-12-21 00:00:00,Basic
INV-STRIPE-100017,CUST-8432,49.0,Paid,2025-09-26 00:00:00,Basic
INV-STRIPE-100018,CUST-7774,49.0,Paid,2025-06-17 00:00:00,Basic
INV-STRIPE-100019,CUST-8879,999.0,Failed,2025-04-08 00:00:00,Enterprise
INV-STRIPE-100020,CUST-9711,49.0,Refunded,2025-11-03 00:00:00,Basic
INV-STRIPE-100021,CUST-5546,49.0,Refunded,2025-11-22 00:00:00,Basic
INV-STRIPE-100022,CUST-7236,49.0,Paid,2025-07-24 00:00:00,Basic
INV-STRIPE-100023,CUST-7496,199.0,Failed,2025-03-29 00:00:00,Professional
INV-STRIPE-100024,CUST-6713,49.0,Paid,2025-05-07 00:00:00,Basic
INV-STRIPE-100025,CUST-7811,199.0,Paid,2025-05-20 00:00:00,Professional
INV-STRIPE-100026,CUST-8945,199.0,Paid,2025-02-02 00:00:00,Professional
INV-STRIPE-100027,CUST-7566,49.0,Paid,2025-08-26 00:00:00,Basic
INV-STRIPE-100028,CUST-9843,49.0,Refunded,2025-03-25 00:00:00,Basic
INV-STRIPE-100029,CUST-9427,49.0,Paid,2025-03-29 00:00:00,Basic
INV-STRIPE-100030,CUST-7449,199.0,Paid,2025-07-17 00:00:00,Professional
INV-STRIPE-100031,CUST-5127,49.0,Paid,2025-02-09 00:00:00,Basic
INV-STRIPE-100032,CUST-8474,49.0,Paid,2025-07-21 00:00:00,Basic
INV-STRIPE-100033,CUST-7072,199.0,Refunded,2025-05-29 00:00:00,Professional
INV-STRIPE-100034,CUST-5188,199.0,Refunded,2025-05-12 00:00:00,Professional
INV-STRIPE-100035,CUST-8461,199.0,Refunded,2025-12-25 00:00:00,Professional
INV-STRIPE-100036,CUST-6749,199.0,Paid,2025-09-11 00:00:00,Professional
INV-STRIPE-100037,CUST-8720,49.0,Paid,2025-05-20 00:00:00,Basic
INV-STRIPE-100038,CUST-8530,199.0,Paid,2025-05-08 00:00:00,Professional
INV-STRIPE-100039,CUST-5338,49.0,Failed,2025-11-14 00:00:00,Basic
INV-STRIPE-100040,CUST-5942,49.0,Paid,2025-03-31 00:00:00,Basic
INV-STRIPE-100041,CUST-7119,49.0,Failed,2025-09-27 00:00:00,Basic
INV-STRIPE-100042,CUST-8979,49.0,Paid,2025-04-04 00:00:00,Basic
INV-STRIPE-100043,CUST-6708,199.0,Refunded,2025-10-06 00:00:00,Professional
INV-STRIPE-100044,CUST-8318,49.0,Paid,2025-03-06 00:00:00,Basic
INV-STRIPE-100045,CUST-5954,49.0,Refunded,2025-02-07 00:00:00,Basic
INV-STRIPE-100046,CUST-5052,49.0,Paid,2025-11-14 00:00:00,Basic
INV-STRIPE-100047,CUST-9627,999.0,Failed,2025-12-12 00:00:00,Enterprise
INV-STRIPE-100048,CUST-9490,49.0,Paid,2025-07-09 00:00:00,Basic
INV-STRIPE-100049,CUST-7031,199.0,Paid,2025-06-18 00:00:00,Professional
INV-STRIPE-100050,CUST-6945,199.0,Refunded,2025-04-29 00:00:00,Professional
INV-STRIPE-100051,CUST-6472,199.0,Paid,2025-08-24 00:00:00,Professional
INV-STRIPE-100052,CUST-9515,49.0,Paid,2025-05-27 00:00:00,Basic
INV-STRIPE-100053,CUST-5046,999.0,Failed,2025-05-02 00:00:00,Enterprise
INV-STRIPE-100054,CUST-5050,49.0,Failed,2025-08-01 00:00:00,Basic
INV-STRIPE-100055,CUST-9015,49.0,Refunded,2025-12-21 00:00:00,Basic
INV-STRIPE-100056,CUST-5207,199.0,Refunded,2025-01-05 00:00:00,Professional
INV-STRIPE-100057,CUST-5805,199.0,Paid,2025-06-17 00:00:00,Professional
INV-STRIPE-100058,CUST-8696,999.0,Paid,2025-11-08 00:00:00,Enterprise
INV-STRIPE-100059,CUST-9259,49.0,Refunded,2025-05-24 00:00:00,Basic
INV-STRIPE-100060,CUST-8207,49.0,Paid,2025-01-07 00:00:00,Basic
INV-STRIPE-100061,CUST-6248,49.0,Paid,2025-11-02 00:00:00,Basic
INV-STRIPE-100062,CUST-6608,199.0,Paid,2025-05-16 00:00:00,Professional
INV-STRIPE-100063,CUST-6757,199.0,Refunded,2025-04-24 00:00:00,Professional
INV-STRIPE-100064,CUST-5471,999.0,Paid,2025-12-30 00:00:00,Enterprise
INV-STRIPE-100065,CUST-8643,49.0,Paid,2025-06-28 00:00:00,Basic
INV-STRIPE-100066,CUST-7291,49.0,Failed,2025-10-05 00:00:00,Basic
INV-STRIPE-100067,CUST-9314,199.0,Paid,2025-08-30 00:00:00,Professional
INV-STRIPE-100068,CUST-6532,199.0,Refunded,2025-06-30 00:00:00,Professional
INV-STRIPE-100069,CUST-9027,49.0,Paid,2025-07-07 00:00:00,Basic
INV-STRIPE-100070,CUST-7642,999.0,Paid,2025-09-18 00:00:00,Enterprise
INV-STRIPE-100071,CUST-9290,199.0,Refunded,2025-02-03 00:00:00,Professional
INV-STRIPE-100072,CUST-5276,199.0,Paid,2025-12-22 00:00:00,Professional
INV-STRIPE-100073,CUST-8167,999.0,Failed,2025-04-23 00:00:00,Enterprise
INV-STRIPE-100074,CUST-8456,49.0,Refunded,2025-04-04 00:00:00,Basic
INV-STRIPE-100075,CUST-5120,49.0,Refunded,2025-02-11 00:00:00,Basic
INV-STRIPE-100076,CUST-6590,199.0,Paid,2025-11-18 00:00:00,Professional
INV-STRIPE-100077,CUST-6703,49.0,Paid,2025-10-23 00:00:00,Basic
INV-STRIPE-100078,CUST-6855,199.0,Failed,2025-07-02 00:00:00,Professional
INV-STRIPE-100079,CUST-8965,999.0,Refunded,2025-12-18 00:00:00,Enterprise
INV-STRIPE-100080,CUST-9209,999.0,Paid,2025-08-11 00:00:00,Enterprise
INV-STRIPE-100081,CUST-7555,49.0,Refunded,2025-09-17 00:00:00,Basic
